HouseNumber,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,SalePrice,SalePriceN
423,20,RL,100,21750,Reg,Inside,BrkSide,79500,<150k
424,60,RL,80,9200,Reg,Inside,CollgCr,185900,>150k
425,20,RL,72,9000,IR1,Corner,NridgHt,451950,>150k
426,60,RM,60,3378,Reg,Inside,Mitchel,138000,<150k
427,80,RL,NA,12800,Reg,Inside,CollgCr,140000,<150k
428,20,RL,77,8593,IR1,Inside,CollgCr,110000,<150k
429,20,RL,64,6762,IR1,Inside,StoneBr,319000,>150k
430,20,RL,130,11457,Reg,Inside,OldTown,114504,<150k
431,160,RM,21,1680,Reg,Inside,Blmngtn,194201,>150k
432,50,RM,60,5586,Reg,Inside,Crawfor,217500,>150k
433,160,RM,24,1920,Reg,Inside,Blueste,151000,>150k
434,60,RL,100,10839,Reg,Inside,NridgHt,275000,>150k
435,180,RM,21,1890,Reg,Inside,IDOTRR,141000,<150k
436,60,RL,43,10667,IR1,Inside,SawyerW,220000,>150k
437,50,RM,40,4400,Reg,Inside,Somerst,151000,>150k
438,45,RM,50,6000,IR1,Inside,CollgCr,221000,>150k
439,30,RL,40,4280,Reg,Inside,NAmes,205000,>150k
440,50,RL,67,12354,IR2,Corner,CollgCr,152000,>150k
441,20,RL,105,15431,Reg,Inside,Edwards,225000,>150k
442,90,RL,92,12108,Reg,Inside,Crawfor,359100,>150k
443,50,RM,52,6240,Reg,Inside,Sawyer,118500,<150k
444,120,RL,53,3922,Reg,Inside,CollgCr,313000,>150k
445,60,RL,70,8750,IR1,FR2,NWAmes,148000,<150k
446,20,RL,73,9855,Reg,Inside,CollgCr,261500,>150k
447,20,RL,137,16492,Reg,Inside,Mitchel,147000,<150k
448,60,RL,NA,11214,Reg,Inside,MeadowV,75500,<150k
449,50,RM,50,8600,Reg,Inside,NAmes,137500,<150k
450,50,RM,50,6000,IR1,Inside,Gilbert,183200,>150k
451,30,RM,70,5684,Reg,Corner,NAmes,105500,<150k
452,20,RL,62,70761,Reg,Inside,NridgHt,314813,>150k
453,60,RL,NA,9303,Reg,Inside,Timber,305000,>150k
454,60,FV,75,9000,Reg,Inside,Edwards,67000,<150k
455,90,RL,63,9297,Reg,Inside,NWAmes,240000,>150k
456,20,RL,80,9600,Reg,Inside,Sawyer,135000,<150k
457,70,RM,34,4571,Reg,Inside,Somerst,168500,>150k
458,20,RL,NA,53227,IR2,Inside,Somerst,196000,>150k
459,70,RM,NA,5100,Reg,Inside,Timber,312500,>150k
460,50,RL,NA,7015,Reg,Inside,NWAmes,140000,<150k
461,60,FV,75,8004,IR1,Inside,StoneBr,361919,>150k
462,70,RL,60,7200,Reg,Inside,OldTown,140000,<150k
463,20,RL,60,8281,Reg,Inside,CollgCr,213000,>150k
464,70,RL,74,11988,Reg,Inside,IDOTRR,55000,<150k
465,20,RL,60,8430,IR2,CulDSac,ClearCr,302000,>150k
466,120,RM,NA,3072,Reg,Inside,NridgHt,254000,>150k
467,20,RL,85,10628,IR1,Inside,Gilbert,179540,>150k
468,70,RL,79,9480,IR1,Inside,Sawyer,109900,<150k
469,20,RL,98,11428,IR1,Inside,BrkSide,52000,<150k
470,60,RL,76,9291,Reg,Inside,IDOTRR,102776,<150k
471,120,RL,NA,6820,IR1,Inside,StoneBr,189000,>150k
472,60,RL,92,11952,Reg,Inside,BrkSide,129000,<150k
473,180,RM,35,3675,IR1,CulDSac,Sawyer,130500,<150k
474,20,RL,110,14977,Reg,Inside,NWAmes,165000,>150k
475,120,RL,41,5330,Reg,Inside,OldTown,159500,>150k
476,20,RL,80,8480,Reg,Inside,NWAmes,157000,>150k
477,20,RL,75,13125,Reg,Inside,NoRidge,341000,>150k
478,60,RL,105,13693,IR1,Inside,CollgCr,128500,<150k
479,20,RL,79,10637,IR1,CulDSac,StoneBr,275000,>150k
480,30,RM,50,5925,Reg,Inside,CollgCr,143000,<150k
481,20,RL,98,16033,Reg,Inside,NAmes,124500,<150k
482,20,RL,72,11846,Reg,Inside,Edwards,135000,<150k
483,70,RM,50,2500,IR1,Inside,Edwards,320000,>150k
484,120,RM,32,4500,Reg,Corner,SWISU,175000,>150k
485,20,RL,NA,7758,IR1,Inside,ClearCr,200000,>150k
486,20,RL,80,9600,Reg,Inside,IDOTRR,109900,<150k
487,20,RL,79,10289,Reg,Inside,CollgCr,189000,>150k
488,20,RL,70,12243,Reg,Inside,NridgHt,582933,>150k
489,190,RL,60,10800,Reg,Inside,NAmes,118000,<150k
490,180,RM,21,1526,IR1,FR2,Somerst,227680,>150k
491,160,RM,NA,2665,Reg,Inside,NAmes,135500,<150k
492,50,RL,79,9490,Reg,Inside,BrkSide,223500,>150k
493,60,RL,105,15578,Reg,Inside,NAmes,159950,>150k
494,20,RL,70,7931,Reg,Corner,OldTown,106000,<150k
495,30,RM,50,5784,Reg,Inside,NWAmes,181000,>150k
496,30,C (all),60,7879,Reg,Inside,CollgCr,144500,<150k
497,20,RL,NA,12692,Reg,Inside,IDOTRR,55993,<150k
498,50,RL,60,9120,Reg,Inside,NAmes,157900,>150k
499,20,RL,65,7800,Reg,Inside,Edwards,116000,<150k
500,20,RL,70,7535,IR2,CulDSac,CollgCr,224900,>150k
501,160,RM,21,1890,IR1,Corner,NAmes,137000,<150k
502,60,FV,75,9803,IR1,CulDSac,Mitchel,271000,>150k
503,20,RL,70,9170,Reg,Inside,ClearCr,155000,>150k
504,20,RL,100,15602,IR1,Inside,NridgHt,224000,>150k
505,160,RL,24,2308,IR1,CulDSac,CollgCr,183000,>150k
506,90,RM,60,7596,Reg,Inside,OldTown,93000,<150k
507,60,RL,80,9554,IR1,Corner,Gilbert,225000,>150k
508,20,FV,75,7862,Reg,Inside,SWISU,139500,<150k
509,70,RM,60,9600,Reg,Inside,Somerst,232600,>150k
510,20,RL,80,9600,Reg,Inside,NridgHt,385000,>150k
511,20,RL,75,14559,Reg,Inside,BrkSide,109500,<150k
512,120,RL,40,6792,IR1,Inside,SawyerW,189000,>150k
513,20,RL,70,9100,IR2,CulDSac,ClearCr,185000,>150k
514,20,RL,71,9187,Reg,Inside,Somerst,147400,<150k
515,45,RL,55,10594,IR1,Corner,NAmes,166000,>150k
516,20,RL,94,12220,Reg,Inside,Somerst,151000,>150k
517,80,RL,NA,10448,IR1,CulDSac,CollgCr,237000,>150k
518,60,RL,79,10208,Reg,Inside,NAmes,167000,>150k
519,60,RL,NA,9531,Reg,Inside,NAmes,139950,<150k
520,70,RL,53,10918,Reg,Inside,Sawyer,128000,<150k
521,190,RL,60,10800,Reg,Inside,OldTown,153500,>150k
522,20,RL,90,11988,Reg,Inside,BrDale,100000,<150k
523,50,RM,50,5000,Reg,Inside,CollgCr,144000,<150k
524,60,RL,130,40094,Reg,Inside,Edwards,130500,<150k
525,60,RL,95,11787,IR1,Inside,SWISU,140000,<150k
526,20,FV,62,7500,Reg,Inside,OldTown,157500,>150k
527,20,RL,70,13300,Reg,Inside,NAmes,174900,>150k
528,60,RL,67,14948,Reg,Corner,NAmes,141000,<150k
529,30,RL,58,9098,IR1,Inside,OldTown,153900,>150k
531,80,RL,85,10200,IR1,CulDSac,Sawyer,171000,>150k
532,70,RM,60,6155,Reg,Inside,SawyerW,213000,>150k
533,20,RL,60,7200,IR1,CulDSac,CollgCr,133500,<150k
534,20,RL,50,5000,IR2,Inside,ClearCr,240000,>150k
535,60,RL,74,9056,Reg,FR2,Veenker,187000,>150k
536,190,RL,70,7000,Reg,Inside,CollgCr,131500,<150k
537,60,RL,57,8924,Reg,Inside,Blmngtn,215000,>150k
538,20,RL,NA,12735,Reg,Inside,Crawfor,164000,>150k
539,20,RL,NA,11553,IR1,Corner,NAmes,158000,>150k
540,20,RL,NA,11423,Reg,Inside,Sawyer,170000,>150k
541,20,RL,85,14601,IR1,Corner,Sawyer,127000,<150k
542,60,RL,NA,11000,IR1,Inside,CollgCr,147000,<150k
543,20,RL,78,10140,Reg,Inside,Gilbert,174000,>150k
544,120,RH,34,4058,Reg,Inside,NWAmes,152000,>150k
545,60,RL,58,17104,IR1,Corner,NWAmes,250000,>150k
546,50,RL,NA,13837,Reg,Corner,Crawfor,189950,>150k
547,50,RL,70,8737,Reg,Inside,Sawyer,131500,<150k
548,85,RL,54,7244,Reg,Corner,SawyerW,152000,>150k
549,20,RM,49,8235,Reg,Inside,NAmes,132500,<150k
550,60,FV,75,9375,Reg,Inside,Somerst,250580,>150k
551,120,RL,53,4043,IR1,Inside,NAmes,148500,<150k
552,20,RM,50,6000,IR1,Inside,Timber,248900,>150k
553,20,RL,87,11146,Reg,Corner,Sawyer,129000,<150k
554,20,RL,67,8777,IR2,Corner,Gilbert,169000,>150k
555,60,RL,85,10625,Reg,Inside,SawyerW,236000,>150k
556,45,RM,58,6380,Reg,Inside,NAmes,109500,<150k
557,20,RL,69,14850,Reg,Inside,CollgCr,200500,>150k
558,50,C (all),60,11040,Reg,Corner,NAmes,116000,<150k
559,60,RL,57,21872,Reg,Inside,NAmes,133000,<150k
560,120,RL,NA,3196,Reg,Inside,NAmes,120500,<150k
561,20,RL,NA,11341,IR1,Corner,Crawfor,222000,>150k
562,20,RL,77,10010,Reg,Inside,CollgCr,194500,>150k
563,30,RL,63,13907,Reg,Corner,NAmes,110000,<150k
564,50,RL,66,21780,Reg,Inside,IDOTRR,103000,<150k
565,60,RL,NA,13346,IR1,Inside,StoneBr,236500,>150k
566,70,RL,66,6858,IR1,Corner,Timber,187500,>150k
567,60,RL,77,11198,IR1,Inside,CollgCr,222500,>150k
568,20,RL,70,10171,Reg,Corner,Sawyer,131400,<150k
569,50,RL,79,12327,IR1,Corner,Sawyer,108000,<150k
570,90,RL,NA,7032,Reg,Inside,OldTown,163000,>150k
571,90,RL,74,13101,Reg,Inside,NAmes,93500,<150k
572,20,RL,60,7332,IR1,CulDSac,Gilbert,239900,>150k
573,60,RL,83,13159,Reg,Inside,Edwards,179000,>150k
574,80,RL,76,9967,IR1,Inside,CollgCr,190000,>150k
575,80,RL,70,10500,Reg,Inside,OldTown,132000,<150k
576,50,RL,80,8480,IR1,Inside,Sawyer,142000,<150k
577,50,RL,52,6292,Reg,Inside,SawyerW,179000,>150k
578,80,RL,96,11777,IR1,Inside,Sawyer,175000,>150k
579,160,FV,34,3604,IR1,Inside,StoneBr,180000,>150k
580,50,RM,81,12150,IR1,Inside,NWAmes,299800,>150k
581,20,RL,NA,14585,IR1,Inside,Gilbert,236000,>150k
582,20,RL,98,12704,IR1,Corner,OldTown,265979,>150k
583,90,RL,81,11841,IR1,Inside,NoRidge,260400,>150k
584,75,RM,75,13500,Reg,Inside,Edwards,98000,<150k
585,50,RM,51,6120,Reg,Corner,OldTown,96500,<150k
586,20,RL,88,11443,Reg,Inside,Gilbert,162000,>150k
587,30,RL,55,10267,IR1,Inside,CollgCr,217000,>150k
588,85,RL,74,8740,Reg,Inside,NridgHt,275500,>150k
589,20,RL,65,25095,Reg,Inside,NAmes,156000,>150k
590,40,RM,50,9100,Reg,Inside,Somerst,172500,>150k
591,60,RL,64,8320,IR1,Inside,CollgCr,212000,>150k
592,60,RL,97,13478,IR1,CulDSac,Sawyer,158900,>150k
593,20,RL,60,6600,Reg,Inside,Somerst,179400,>150k
594,120,RM,NA,4435,IR1,Inside,NoRidge,290000,>150k
595,20,RL,88,7990,Reg,Inside,NAmes,127500,<150k
596,20,RL,69,11302,Reg,FR2,BrkSide,100000,<150k
597,70,RM,60,3600,Reg,Inside,Somerst,215200,>150k
598,120,RL,53,3922,Reg,Inside,NoRidge,337000,>150k
599,20,RL,80,12984,IR1,CulDSac,Veenker,270000,>150k
600,160,RM,24,1950,IR1,Inside,Somerst,264132,>150k
601,60,RL,74,10927,Reg,Inside,NWAmes,196500,>150k
602,50,RM,50,9000,IR1,Inside,Mitchel,160000,>150k
603,60,RL,80,10041,Reg,Inside,CollgCr,216837,>150k
604,160,FV,30,3182,IR2,CulDSac,StoneBr,538000,>150k
605,20,RL,88,12803,IR1,CulDSac,Sawyer,134900,<150k
606,60,RL,85,13600,Reg,Inside,Edwards,102000,<150k
607,20,RL,82,12464,Reg,Inside,Edwards,107000,<150k
608,20,RL,78,7800,Reg,Inside,NAmes,114500,<150k
609,70,RL,78,12168,Reg,Corner,NridgHt,395000,>150k
610,20,RL,61,7943,Reg,FR2,Mitchel,162000,>150k
611,60,RL,NA,11050,IR1,Inside,CollgCr,221500,>150k
612,80,RL,NA,10395,IR1,Inside,Sawyer,142500,<150k
613,60,RL,NA,11885,Reg,Inside,SawyerW,144000,<150k
614,20,RL,70,8402,Reg,Inside,Mitchel,135000,<150k
615,180,RM,21,1491,Reg,Inside,Gilbert,176000,>150k
616,85,RL,80,8800,Reg,Inside,SawyerW,175900,>150k
617,60,RL,NA,7861,IR2,Inside,CollgCr,187100,>150k
618,45,RL,59,7227,IR1,Corner,Mitchel,165500,>150k
619,20,RL,90,11694,Reg,Inside,OldTown,128000,<150k
620,60,RL,85,12244,Reg,Inside,NWAmes,161500,>150k
621,30,RL,45,8248,Reg,Inside,OldTown,139000,<150k
622,60,RL,90,10800,IR1,Inside,SawyerW,233000,>150k
623,20,RL,71,7064,Reg,Corner,OldTown,107900,<150k
624,160,FV,NA,2117,IR1,Inside,ClearCr,187500,>150k
625,60,RL,80,10400,Reg,Inside,Blmngtn,160200,>150k
626,20,RL,87,10000,IR1,Corner,Mitchel,146800,<150k
627,20,RL,NA,12342,IR1,CulDSac,NoRidge,269790,>150k
628,80,RL,80,9600,Reg,Inside,Somerst,225000,>150k
629,60,RL,70,11606,IR1,Corner,Gilbert,194500,>150k
630,80,RL,82,9020,Reg,Inside,SawyerW,171000,>150k
631,70,RM,50,9000,Reg,Inside,Sawyer,143500,<150k
632,120,RL,34,4590,Reg,Inside,NAmes,110000,<150k
633,20,RL,85,11900,Reg,Inside,NridgHt,485000,>150k
634,20,RL,80,9250,Reg,Inside,Edwards,84900,<150k
635,90,RL,64,6979,IR1,Inside,Gilbert,176485,>150k
636,190,RH,60,10896,IR1,Corner,CollgCr,200141,>150k
637,30,RM,51,6120,Reg,Corner,NAmes,165000,>150k
638,190,RM,50,6000,Reg,Inside,Edwards,144500,<150k
639,30,RL,67,8777,Reg,Corner,CollgCr,255000,>150k
640,120,RL,53,3982,Reg,Inside,NWAmes,180000,>150k
641,120,RL,62,12677,IR1,Inside,NridgHt,185850,>150k
642,60,FV,NA,7050,IR2,FR2,NoRidge,248000,>150k
643,80,RL,75,13860,IR1,Inside,NridgHt,335000,>150k
644,60,RL,80,10793,IR1,Corner,Crawfor,220000,>150k
645,20,FV,85,9187,Reg,Inside,StoneBr,213500,>150k
646,20,RL,NA,10530,Reg,Inside,IDOTRR,81000,<150k
647,20,RL,60,7200,Reg,Inside,OldTown,90000,<150k
648,20,RL,85,10452,Reg,Inside,OldTown,110500,<150k
649,60,RL,70,7700,IR1,CulDSac,NAmes,154000,>150k
650,180,RM,21,1936,Reg,Inside,ClearCr,328000,>150k
652,70,RL,60,9084,IR1,Inside,Gilbert,178000,>150k
653,60,RL,70,8750,Reg,Inside,NAmes,167900,>150k
654,50,RM,60,10320,Reg,Inside,MeadowV,151400,>150k
655,20,RL,91,10437,Reg,Inside,NAmes,135000,<150k
656,160,RM,21,1680,Reg,Inside,NAmes,135000,<150k
657,20,RL,72,10007,Reg,Inside,NWAmes,154000,>150k
658,70,RL,60,7200,Reg,Inside,Edwards,91500,<150k
659,50,RL,78,17503,IR1,Corner,Edwards,159500,>150k
660,20,RL,75,9937,Reg,Inside,OldTown,66500,<150k
661,60,RL,NA,12384,Reg,Inside,Somerst,303477,>150k
662,60,RL,52,46589,Reg,Inside,Mitchel,132250,<150k
663,20,RL,120,13560,Reg,Inside,NridgHt,350000,>150k
664,85,RL,90,10012,IR1,Inside,Sawyer,148000,<150k
665,20,RL,49,20896,IR1,CulDSac,CollgCr,136500,<150k
666,60,RL,106,11194,Reg,Inside,Edwards,157000,>150k
667,60,RL,NA,18450,IR1,CulDSac,Timber,187500,>150k
668,20,RL,65,8125,IR1,Corner,Gilbert,178000,>150k
669,20,RL,NA,14175,Reg,Inside,SWISU,118500,<150k
670,30,RL,80,11600,Reg,Inside,NAmes,100000,<150k
671,60,RL,64,8633,IR1,CulDSac,Somerst,328900,>150k
672,70,RH,54,6629,Reg,Corner,NAmes,145000,<150k
673,20,RL,NA,11250,IR1,Inside,Edwards,135500,<150k
674,20,RL,110,14442,IR1,Inside,NAmes,268000,>150k
675,20,RL,80,9200,Reg,Inside,NAmes,149500,<150k
676,160,RL,24,2289,Reg,Corner,NAmes,122900,<150k
677,70,RM,60,9600,Reg,Inside,Sawyer,172500,>150k
678,30,RL,52,9022,Reg,Inside,Sawyer,154500,>150k
679,20,RL,80,11844,Reg,Inside,Sawyer,165000,>150k
680,20,RL,NA,9945,Reg,Inside,SawyerW,118858,<150k
681,120,RL,50,8012,Reg,Inside,NAmes,140000,<150k
682,50,RH,55,4500,Reg,Inside,IDOTRR,106500,<150k
683,120,RL,NA,2887,Reg,Inside,SawyerW,142953,<150k
684,20,RL,90,11248,IR1,Inside,NridgHt,611657,>150k
685,60,RL,58,16770,Reg,Inside,Sawyer,135000,<150k
686,160,RL,NA,5062,IR1,Inside,NAmes,110000,<150k
687,60,FV,84,10207,IR1,Inside,NAmes,153000,>150k
688,160,FV,NA,5105,Reg,Inside,Gilbert,180000,>150k
689,20,RL,60,8089,IR1,CulDSac,Gilbert,240000,>150k
690,120,RL,61,7577,IR1,Inside,Sawyer,125500,<150k
691,120,RM,NA,4426,Reg,Inside,NAmes,128000,<150k
692,60,RL,104,21535,IR1,Corner,Somerst,255000,>150k
693,60,RL,42,26178,IR1,Inside,Crawfor,250000,>150k
694,30,RL,60,5400,IR1,Inside,Mitchel,131000,<150k
695,50,RM,51,6120,IR2,Inside,Gilbert,174000,>150k
696,20,RL,54,13811,Reg,Corner,NAmes,154300,>150k
697,30,RM,50,6000,IR1,CulDSac,CollgCr,143500,<150k
698,20,RL,57,6420,Reg,Inside,BrkSide,88000,<150k
699,20,RL,65,8450,Reg,Inside,Crawfor,145000,<150k
700,120,FV,59,4282,Reg,Inside,Somerst,173733,>150k
701,20,RL,85,14331,Reg,Inside,MeadowV,75000,<150k
702,20,RL,80,9600,Reg,Inside,IDOTRR,35311,<150k
703,60,RL,82,12438,Reg,Inside,Edwards,135000,<150k
704,190,RM,76,7630,IR1,Corner,SawyerW,238000,>150k
705,20,RL,70,8400,IR1,Corner,NAmes,176500,>150k
706,190,RM,70,5600,IR1,Inside,SawyerW,201000,>150k
707,20,RL,NA,115149,Reg,Inside,Edwards,145900,<150k
708,120,RL,48,6240,Reg,Inside,Gilbert,169990,>150k
709,60,RL,65,9018,Reg,Inside,SawyerW,193000,>150k
710,20,RL,NA,7162,Reg,Inside,NWAmes,207500,>150k
711,30,RL,56,4130,Reg,Inside,CollgCr,206000,>150k
712,50,C (all),66,8712,Reg,Corner,Edwards,82000,<150k
713,120,RL,40,4671,Reg,Corner,OldTown,86000,<150k
714,190,RL,60,9873,IR1,Inside,Somerst,232000,>150k
715,60,RL,NA,13517,IR1,Corner,NWAmes,136905,<150k
716,20,RL,78,10140,Reg,Inside,Blmngtn,181000,>150k
717,70,RM,60,10800,Reg,Inside,CollgCr,149900,<150k
718,20,RL,80,10000,IR3,Inside,NAmes,163500,>150k
719,60,RL,96,10542,Reg,Inside,MeadowV,88000,<150k
720,20,RL,69,9920,IR1,CulDSac,Mitchel,240000,>150k
721,120,RL,NA,6563,Reg,Inside,SWISU,102000,<150k
722,120,RM,NA,4426,Reg,Inside,Sawyer,135000,<150k
723,20,RL,70,8120,Reg,Inside,Edwards,100000,<150k
724,50,RL,60,8172,Reg,Inside,Crawfor,165000,>150k
725,20,RL,86,13286,Reg,Inside,OldTown,85000,<150k
726,20,RL,60,6960,Reg,Inside,NAmes,119200,<150k
727,20,RL,NA,21695,Reg,Inside,NWAmes,227000,>150k
728,20,RL,64,7314,Reg,Inside,CollgCr,203000,>150k
729,90,RL,85,11475,IR1,CulDSac,StoneBr,187500,>150k
730,30,RM,52,6240,IR1,FR2,Gilbert,160000,>150k
731,120,RL,39,5389,Reg,Inside,Blmngtn,213490,>150k
732,80,RL,73,9590,Reg,Inside,Edwards,176000,>150k
733,60,RL,75,11404,Reg,Inside,CollgCr,194000,>150k
734,20,RL,80,10000,Reg,Inside,OldTown,87000,<150k
735,20,RL,NA,8978,Reg,Inside,Blmngtn,191000,>150k
736,75,RM,60,10800,IR1,Corner,Timber,287000,>150k
737,90,RL,60,8544,Reg,Corner,CollgCr,112500,<150k
738,60,RL,72,10463,Reg,Inside,NAmes,167500,>150k
739,90,RL,60,10800,IR1,Inside,Timber,293077,>150k
740,60,RL,65,9313,Reg,Inside,NAmes,105000,<150k
741,70,RM,60,9600,Reg,Inside,BrDale,118000,<150k
742,20,RL,65,6768,Reg,Inside,SWISU,160000,>150k
743,20,RL,65,8450,Reg,Corner,SWISU,197000,>150k
744,80,RL,70,12886,IR1,Corner,NoRidge,310000,>150k
745,120,RL,41,5395,Reg,Inside,CollgCr,230000,>150k
746,60,RL,NA,8963,Reg,Inside,Crawfor,119750,<150k
747,60,RL,NA,8795,IR1,CulDSac,Edwards,84000,<150k
748,70,RM,65,11700,IR1,Inside,Timber,315500,>150k
749,20,RL,59,10593,Reg,Inside,CollgCr,287000,>150k
750,50,RL,50,8405,Reg,Inside,MeadowV,97000,<150k
751,50,RM,55,8800,Reg,Inside,MeadowV,80000,<150k
752,60,RL,NA,7750,Reg,Corner,Sawyer,155000,>150k
753,20,RL,79,9236,Reg,Inside,NWAmes,173000,>150k
754,60,RL,80,10240,IR1,Inside,NridgHt,196000,>150k
755,20,RL,61,7930,Reg,Inside,SawyerW,262280,>150k
756,160,FV,34,3230,Reg,Inside,NWAmes,278000,>150k
757,60,RL,68,10769,IR1,CulDSac,Edwards,139600,<150k
758,60,RL,NA,11616,IR1,Inside,StoneBr,556581,>150k
759,160,FV,24,2280,IR2,Inside,CollgCr,145000,<150k
760,60,RL,65,12257,Reg,Inside,Mitchel,115000,<150k
761,20,RL,70,9100,IR1,Corner,NWAmes,175000,>150k
762,30,RM,60,6911,Reg,Inside,NridgHt,285000,>150k
763,60,FV,72,8640,Reg,Inside,NWAmes,176000,>150k
764,60,RL,82,9430,Reg,Inside,CollgCr,236500,>150k
765,120,RL,30,9549,IR1,Corner,Gilbert,222000,>150k
766,20,RL,75,14587,IR1,Inside,Timber,201000,>150k
767,60,RL,80,10421,Reg,Inside,NAmes,117500,<150k
768,50,RL,75,12508,IR1,Corner,Somerst,320000,>150k
769,20,RL,70,9100,Reg,FR2,CollgCr,190000,>150k
770,60,RL,47,53504,IR2,Inside,NAmes,242000,>150k
771,85,RL,NA,7252,IR1,Inside,BrkSide,79900,<150k
772,20,RL,67,8877,Reg,Inside,SawyerW,184900,>150k
773,80,RL,94,7819,Reg,Inside,Somerst,253000,>150k
774,20,RL,70,10150,Reg,Inside,CollgCr,239799,>150k
775,20,RL,110,14226,Reg,Inside,ClearCr,244400,>150k
776,120,RM,32,4500,IR1,Inside,Mitchel,150900,>150k
777,20,RL,86,11210,IR1,FR2,Gilbert,214000,>150k
778,20,RL,100,13350,IR1,Inside,Edwards,150000,<150k
779,90,RH,60,8400,Reg,Inside,Mitchel,143000,<150k
780,90,RL,78,10530,IR1,CulDSac,Timber,137500,<150k
781,20,RL,63,7875,Reg,Corner,OldTown,124900,<150k
782,60,RL,65,7153,Reg,Inside,NAmes,143000,<150k
783,20,RL,67,16285,Reg,Inside,Timber,270000,>150k
784,85,RL,NA,9101,IR1,Inside,CollgCr,192500,>150k
785,75,RM,35,6300,Reg,Inside,NWAmes,197500,>150k
786,20,RL,NA,9790,Reg,Inside,NAmes,129000,<150k
787,50,RM,60,10800,Reg,Corner,SawyerW,119900,<150k
788,60,RL,76,10142,Reg,Inside,CollgCr,133900,<150k
789,20,RM,50,6000,IR1,Inside,Mitchel,172000,>150k
790,60,RL,NA,12205,IR1,CulDSac,Edwards,127500,<150k
791,120,RL,43,3182,IR1,Inside,Crawfor,145000,<150k
792,80,RL,NA,11333,Reg,Inside,Blueste,124000,<150k
793,60,RL,92,9920,Reg,Inside,Sawyer,132000,<150k
794,20,RL,76,9158,Reg,Inside,CollgCr,185000,>150k
795,60,RL,NA,10832,Reg,FR2,Somerst,155000,>150k
796,60,RL,70,8400,IR1,Inside,BrkSide,116500,<150k
797,20,RL,71,8197,IR1,Corner,NWAmes,272000,>150k
798,20,RL,57,7677,Reg,Corner,NPkVill,155000,>150k
799,60,RL,104,13518,IR1,Corner,CollgCr,239000,>150k
800,50,RL,60,7200,Reg,Corner,Timber,214900,>150k
801,60,RL,79,12798,Reg,Inside,Gilbert,178900,>150k
802,30,RM,40,4800,IR1,Inside,Crawfor,160000,>150k
803,60,RL,63,8199,IR1,Inside,NAmes,135000,<150k
804,60,RL,107,13891,Reg,Inside,OldTown,37900,<150k
805,20,RL,75,9000,Reg,Inside,NAmes,140000,<150k
806,20,RL,91,12274,Reg,Inside,NAmes,135000,<150k
807,80,RL,75,9750,Reg,Inside,NridgHt,173000,>150k
808,70,RL,144,21384,Reg,Inside,SawyerW,99500,<150k
809,80,RL,85,13400,Reg,Corner,Somerst,182000,>150k
810,75,RM,90,8100,IR1,Corner,BrkSide,167500,>150k
811,20,RL,78,10140,Reg,FR2,Somerst,165000,>150k
812,120,RM,NA,4438,IR1,Inside,BrkSide,85500,<150k
813,20,C (all),66,8712,IR1,Inside,Somerst,199900,>150k
814,20,RL,75,9750,Reg,Inside,Edwards,110000,<150k
815,50,RL,45,8248,Reg,Corner,Sawyer,139000,<150k
816,20,RL,48,12137,IR1,Corner,NAmes,178400,>150k
817,20,RL,NA,11425,IR1,Corner,NoRidge,336000,>150k
818,20,RL,NA,13265,Reg,Inside,Blmngtn,159895,>150k
819,80,RL,80,8816,Reg,Corner,CollgCr,255900,>150k
820,120,RL,44,6371,Reg,Inside,Mitchel,126000,<150k
821,60,RL,72,7226,Reg,Inside,Edwards,125000,<150k
822,20,RM,60,6000,Reg,Corner,OldTown,117000,<150k
823,60,RL,NA,12394,IR1,Inside,NridgHt,395192,>150k
824,50,RL,60,9900,IR1,Inside,NWAmes,195000,>150k
825,20,FV,81,11216,Reg,Inside,Somerst,197000,>150k
826,20,RL,114,14803,Reg,Inside,NoRidge,348000,>150k
827,45,RM,50,6130,Reg,Corner,OldTown,168000,>150k
828,20,RL,65,8529,Reg,Inside,NAmes,187000,>150k
829,60,RL,NA,28698,Reg,Inside,CollgCr,173900,>150k
830,160,FV,24,2544,Reg,FR2,NridgHt,337500,>150k
831,20,RL,80,11900,IR1,Inside,BrkSide,121600,<150k
832,160,FV,30,3180,IR1,Inside,NAmes,136500,<150k
833,60,RL,44,9548,IR1,Inside,NWAmes,185000,>150k
834,20,RL,100,10004,Reg,Inside,IDOTRR,91000,<150k
835,20,RL,75,7875,Reg,Inside,CollgCr,194000,>150k
836,20,RL,60,9600,Reg,Inside,Crawfor,219500,>150k
837,30,RM,90,8100,Reg,Inside,OldTown,170000,>150k
838,160,RM,21,1680,IR1,Corner,NAmes,138800,<150k
839,20,RL,75,9525,Reg,Inside,CollgCr,155900,>150k
840,50,RL,70,11767,Reg,Inside,CollgCr,126000,<150k
841,70,RH,NA,12155,Reg,Inside,NWAmes,145000,<150k
842,70,RM,60,10440,Reg,Corner,Sawyer,133000,<150k
843,80,RL,82,9020,Reg,Inside,CollgCr,192000,>150k
844,90,RL,80,8000,Reg,Inside,NAmes,160000,>150k
845,50,RM,100,12665,IR2,Corner,Gilbert,187500,>150k
846,85,RL,NA,16647,Reg,Inside,SawyerW,147000,<150k
847,60,RL,75,9317,Reg,Inside,MeadowV,83500,<150k
